dates,event_name,gender,match_type,winner,overs,season,team_type,team1,team2,result,method,stage
2016-05-02,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,Leinster Lightning,50,2016,club,Northern Knights,Leinster Lightning,NA,NA,NA
2016-05-30,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,Leinster Lightning,50,2016,club,Leinster Lightning,North-West Warriors,NA,NA,NA
2016-06-12,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,NA,50,2016,club,North-West Warriors,Leinster Lightning,no result,NA,NA
2016-07-31,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,Leinster Lightning,50,2016,club,Northern Knights,Leinster Lightning,NA,NA,NA
2016-08-07,Cricket Ireland Inter-Provincial Limited Over Cup,male,ODM,Northern Knights,50,2016,club,North-West Warriors,Northern Knights,NA,D/L,NA
2016-05-27,Cricket Ireland Inter-Provincial Twenty20 Trophy,male,T20,North-West Warriors,20,2016,club,North-West Warriors,Northern Knights,NA,NA,NA
2016-11-12,CSA T20 Challenge,male,T20,Knights,20,2016/17,club,Knights,Cape Cobras,NA,NA,NA
2016-11-12,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Lions,NA,NA,NA
2016-11-13,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Dolphins,Warriors,NA,NA,NA
2016-11-16,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Cape Cobras,Titans,NA,NA,NA
2016-11-18,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Knights,Titans,NA,NA,NA
2016-11-20,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Dolphins,NA,NA,NA
2016-11-20,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Warriors,Knights,NA,NA,NA
2016-11-20,CSA T20 Challenge,male,T20,Lions,20,2016/17,club,Lions,Cape Cobras,NA,D/L,NA
2016-11-25,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Lions,Warriors,NA,NA,NA
2016-11-25,CSA T20 Challenge,male,T20,Dolphins,20,2016/17,club,Knights,Dolphins,NA,NA,NA
2016-11-25,CSA T20 Challenge,male,T20,NA,20,2016/17,club,Cape Cobras,Titans,no result,NA,NA
2016-11-27,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Knights,NA,NA,NA
2016-11-27,CSA T20 Challenge,male,T20,Lions,20,2016/17,club,Lions,Dolphins,NA,NA,NA
2016-11-30,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Knights,Warriors,NA,NA,NA
2016-11-30,CSA T20 Challenge,male,T20,Dolphins,20,2016/17,club,Titans,Dolphins,NA,NA,NA
2016-12-02,CSA T20 Challenge,male,T20,Lions,20,2016/17,club,Lions,Knights,NA,NA,NA
2016-12-02,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Titans,Warriors,NA,NA,NA
2016-12-04,CSA T20 Challenge,male,T20,Lions,20,2016/17,club,Lions,Warriors,NA,NA,NA
2016-12-04,CSA T20 Challenge,male,T20,Cape Cobras,20,2016/17,club,Dolphins,Cape Cobras,NA,NA,NA
2016-12-07,CSA T20 Challenge,male,T20,Cape Cobras,20,2016/17,club,Knights,Cape Cobras,NA,NA,NA
2016-12-07,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Dolphins,Warriors,NA,NA,NA
2016-12-07,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Lions,NA,NA,NA
2016-12-09,CSA T20 Challenge,male,T20,Knights,20,2016/17,club,Lions,Knights,NA,D/L,NA
2016-12-11,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Warriors,NA,NA,NA
2016-12-11,CSA T20 Challenge,male,T20,Knights,20,2016/17,club,Dolphins,Knights,NA,D/L,NA
2016-12-13,CSA T20 Challenge,male,T20,Warriors,20,2016/17,club,Lions,Warriors,NA,NA,Qualifier
2016-12-16,CSA T20 Challenge,male,T20,Titans,20,2016/17,club,Titans,Warriors,NA,NA,Final
2016-07-21,Caribbean Premier League,male,T20,St Lucia Zouks,20,2016,club,St Lucia Zouks,St Kitts and Nevis Patriots,NA,NA,NA
2016-07-24,Caribbean Premier League,male,T20,St Lucia Zouks,20,2016,club,Guyana Amazon Warriors,St Lucia Zouks,NA,NA,NA
2016-07-26,Caribbean Premier League,male,T20,Trinbago Knight Riders,20,2016,club,St Lucia Zouks,Trinbago Knight Riders,NA,NA,NA
2016-07-10,Caribbean Premier League,male,T20,Trinbago Knight Riders,20,2016,club,Trinbago Knight Riders,Guyana Amazon Warriors,NA,NA,NA
2016-07-11,Caribbean Premier League,male,T20,NA,20,2016,club,Jamaica Tallawahs,Barbados Tridents,no result,NA,NA
2016-07-13,Caribbean Premier League,male,T20,Barbados Tridents,20,2016,club,Barbados Tridents,St Kitts and Nevis Patriots,NA,NA,NA
2016-07-16,Caribbean Premier League,male,T20,Trinbago Knight Riders,20,2016,club,Barbados Tridents,Trinbago Knight Riders,NA,NA,NA
2016-07-17,Caribbean Premier League,male,T20,Barbados Tridents,20,2016,club,Barbados Tridents,St Lucia Zouks,NA,NA,NA
2016-07-15,Caribbean Premier League,male,T20,Jamaica Tallawahs,20,2016,club,Guyana Amazon Warriors,Jamaica Tallawahs,NA,NA,NA
2016-07-16,Caribbean Premier League,male,T20,Jamaica Tallawahs,20,2016,club,Jamaica Tallawahs,St Kitts and Nevis Patriots,NA,NA,NA
2016-07-18,Caribbean Premier League,male,T20,Jamaica Tallawahs,20,2016,club,Jamaica Tallawahs,Trinbago Knight Riders,NA,NA,NA
2016-07-20,Caribbean Premier League,male,T20,Jamaica Tallawahs,20,2016,club,Jamaica Tallawahs,Barbados Tridents,NA,D/L,NA
2016-12-20,Big Bash League,male,T20,Sydney Sixers,20,2016/17,club,Sydney Thunder,Sydney Sixers,NA,NA,NA
2016-12-21,Big Bash League,male,T20,Brisbane Heat,20,2016/17,club,Adelaide Strikers,Brisbane Heat,NA,NA,NA
2016-12-22,Big Bash League,male,T20,Melbourne Renegades,20,2016/17,club,Melbourne Renegades,Sydney Thunder,NA,NA,NA
2016-12-23,Big Bash League,male,T20,Hobart Hurricanes,20,2016/17,club,Sydney Sixers,Hobart Hurricanes,NA,NA,NA
2016-12-23,Big Bash League,male,T20,Perth Scorchers,20,2016/17,club,Perth Scorchers,Adelaide Strikers,NA,NA,NA
2016-12-26,Big Bash League,male,T20,Melbourne Stars,20,2016/17,club,Hobart Hurricanes,Melbourne Stars,NA,NA,NA
2016-12-27,Big Bash League,male,T20,Sydney Sixers,20,2016/17,club,Sydney Sixers,Perth Scorchers,NA,NA,NA
2016-12-28,Big Bash League,male,T20,Brisbane Heat,20,2016/17,club,Sydney Thunder,Brisbane Heat,NA,NA,NA
2016-12-29,Big Bash League,male,T20,Perth Scorchers,20,2016/17,club,Melbourne Renegades,Perth Scorchers,NA,NA,NA
2016-12-30,Big Bash League,male,T20,Brisbane Heat,20,2016/17,club,Brisbane Heat,Hobart Hurricanes,NA,NA,NA
2016-12-31,Big Bash League,male,T20,Adelaide Strikers,20,2016/17,club,Adelaide Strikers,Sydney Sixers,NA,NA,NA
2017-01-01,Big Bash League,male,T20,Melbourne Renegades,20,2016/17,club,Melbourne Stars,Melbourne Renegades,NA,D/L,NA
2017-01-01,Big Bash League,male,T20,Perth Scorchers,20,2016/17,club,Perth Scorchers,Sydney Thunder,NA,NA,NA
2017-01-02,Big Bash League,male,T20,Hobart Hurricanes,20,2016/17,club,Hobart Hurricanes,Adelaide Strikers,NA,NA,NA
2017-01-03,Big Bash League,male,T20,Sydney Sixers,20,2016/17,club,Brisbane Heat,Sydney Sixers,NA,NA,NA
2017-01-04,Big Bash League,male,T20,Sydney Thunder,20,2016/17,club,Sydney Thunder,Melbourne Stars,NA,NA,NA
2017-01-05,Big Bash League,male,T20,Brisbane Heat,20,2016/17,club,Perth Scorchers,Brisbane Heat,NA,NA,NA
2017-01-06,Big Bash League,male,T20,Adelaide Strikers,20,2016/17,club,Adelaide Strikers,Hobart Hurricanes,NA,NA,NA
2017-01-07,Big Bash League,male,T20,Melbourne Stars,20,2016/17,club,Melbourne Renegades,Melbourne Stars,NA,NA,NA
2017-01-08,Big Bash League,male,T20,Sydney Thunder,20,2016/17,club,Hobart Hurricanes,Sydney Thunder,NA,NA,NA
2017-01-09,Big Bash League,male,T20,Sydney Sixers,20,2016/17,club,Sydney Sixers,Melbourne Renegades,NA,NA,NA
2017-01-10,Big Bash League,male,T20,Melbourne Stars,20,2016/17,club,Melbourne Stars,Adelaide Strikers,NA,NA,NA
2017-01-11,Big Bash League,male,T20,Perth Scorchers,20,2016/17,club,Brisbane Heat,Perth Scorchers,NA,NA,NA
2017-01-12,Big Bash League,male,T20,Hobart Hurricanes,20,2016/17,club,Melbourne Renegades,Hobart Hurricanes,NA,NA,NA
2017-01-14,Big Bash League,male,T20,Sydney Thunder,20,2016/17,club,Sydney Sixers,Sydney Thunder,NA,NA,NA
2017-01-14,Big Bash League,male,T20,Melbourne Stars,20,2016/17,club,Perth Scorchers,Melbourne Stars,NA,NA,NA
2017-01-16,Big Bash League,male,T20,Melbourne Renegades,20,2016/17,club,Adelaide Strikers,Melbourne Renegades,NA,NA,NA
2017-01-17,Big Bash League,male,T20,Brisbane Heat,20,2016/17,club,Melbourne Stars,Brisbane Heat,NA,NA,NA
2017-01-18,Big Bash League,male,T20,Adelaide Strikers,20,2016/17,club,Sydney Thunder,Adelaide Strikers,NA,NA,NA
2017-01-20,Big Bash League,male,T20,Melbourne Renegades,20,2016/17,club,Brisbane Heat,Melbourne Renegades,NA,NA,NA
2017-01-21,Big Bash League,male,T20,Perth Scorchers,20,2016/17,club,Hobart Hurricanes,Perth Scorchers,NA,NA,NA
2017-01-21,Big Bash League,male,T20,Sydney Sixers,20,2016/17,club,Melbourne Stars,Sydney Sixers,NA,NA,NA
2017-01-24,Big Bash League,male,T20,Perth Scorchers,20,2016/17,club,Perth Scorchers,Melbourne Stars,NA,NA,Semi Final
2017-01-25,Big Bash League,male,T20,NA,20,2016/17,club,Brisbane Heat,Sydney Sixers,tie,NA,Semi Final
2017-01-28,Big Bash League,male,T20,Perth Scorchers,20,2016/17,club,Perth Scorchers,Sydney Sixers,NA,NA,Final
2016-12-10,Women's Big Bash League,female,T20,Adelaide Strikers,20,2016/17,club,Adelaide Strikers,Melbourne Renegades,NA,NA,NA
2016-12-11,Women's Big Bash League,female,T20,Melbourne Renegades,20,2016/17,club,Adelaide Strikers,Melbourne Renegades,NA,NA,NA
2016-12-11,Women's Big Bash League,female,T20,Perth Scorchers,20,2016/17,club,Perth Scorchers,Hobart Hurricanes,NA,NA,NA
2016-12-13,Women's Big Bash League,female,T20,Sydney Thunder,20,2016/17,club,Melbourne Stars,Sydney Thunder,NA,NA,NA
2016-12-17,Women's Big Bash League,female,T20,Hobart Hurricanes,20,2016/17,club,Hobart Hurricanes,Melbourne Renegades,NA,NA,NA
2016-12-17,Women's Big Bash League,female,T20,Melbourne Stars,20,2016/17,club,Sydney Sixers,Melbourne Stars,NA,NA,NA
2016-12-17,Women's Big Bash League,female,T20,Adelaide Strikers,20,2016/17,club,Sydney Thunder,Adelaide Strikers,NA,NA,NA
2016-12-17,Women's Big Bash League,female,T20,Perth Scorchers,20,2016/17,club,Brisbane Heat,Perth Scorchers,NA,NA,NA
2016-12-18,Women's Big Bash League,female,T20,NA,20,2016/17,club,Hobart Hurricanes,Melbourne Renegades,tie,NA,NA
2016-12-18,Women's Big Bash League,female,T20,Melbourne Stars,20,2016/17,club,Sydney Sixers,Melbourne Stars,NA,NA,NA
2016-12-26,Women's Big Bash League,female,T20,Melbourne Stars,20,2016/17,club,Melbourne Stars,Brisbane Heat,NA,NA,NA
2016-12-27,Women's Big Bash League,female,T20,Brisbane Heat,20,2016/17,club,Brisbane Heat,Melbourne Stars,NA,NA,NA
2016-12-28,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Sydney Sixers,Sydney Thunder,NA,NA,NA
2016-12-29,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Hobart Hurricanes,Sydney Sixers,NA,NA,NA
2016-12-31,Women's Big Bash League,female,T20,Perth Scorchers,20,2016/17,club,Adelaide Strikers,Perth Scorchers,NA,NA,NA
2017-01-01,Women's Big Bash League,female,T20,Melbourne Renegades,20,2016/17,club,Melbourne Stars,Melbourne Renegades,NA,D/L,NA
2017-01-02,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Sydney Sixers,Adelaide Strikers,NA,NA,NA
2017-01-02,Women's Big Bash League,female,T20,Sydney Thunder,20,2016/17,club,Sydney Thunder,Brisbane Heat,NA,NA,NA
2017-01-03,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Adelaide Strikers,Sydney Sixers,NA,NA,NA
2017-01-04,Women's Big Bash League,female,T20,Melbourne Renegades,20,2016/17,club,Perth Scorchers,Melbourne Renegades,NA,NA,NA
2016-08-03,Caribbean Premier League,male,T20,Guyana Amazon Warriors,20,2016,club,Guyana Amazon Warriors,Jamaica Tallawahs,NA,NA,Qualifier 1
2016-08-04,Caribbean Premier League,male,T20,Trinbago Knight Riders,20,2016,club,St Lucia Zouks,Trinbago Knight Riders,NA,NA,Eliminator
2016-08-05,Caribbean Premier League,male,T20,Jamaica Tallawahs,20,2016,club,Jamaica Tallawahs,Trinbago Knight Riders,NA,D/L,Qualifier 2
2016-08-07,Caribbean Premier League,male,T20,Jamaica Tallawahs,20,2016,club,Guyana Amazon Warriors,Jamaica Tallawahs,NA,NA,Final
2016-06-29,Caribbean Premier League,male,T20,St Lucia Zouks,20,2016,club,Trinbago Knight Riders,St Lucia Zouks,NA,NA,NA
2016-07-01,Caribbean Premier League,male,T20,Trinbago Knight Riders,20,2016,club,Trinbago Knight Riders,Barbados Tridents,NA,NA,NA
2016-07-02,Caribbean Premier League,male,T20,Guyana Amazon Warriors,20,2016,club,Trinbago Knight Riders,Guyana Amazon Warriors,NA,NA,NA
2016-07-04,Caribbean Premier League,male,T20,Jamaica Tallawahs,20,2016,club,Trinbago Knight Riders,Jamaica Tallawahs,NA,NA,NA
2016-08-21,Women's Cricket Super League,female,T20,Western Storm,20,2016,club,Loughborough Lightning,Western Storm,NA,NA,Semi-Final
2016-08-21,Women's Cricket Super League,female,T20,Southern Vipers,20,2016,club,Western Storm,Southern Vipers,NA,NA,Final
2017-03-26,Sheffield Shield,male,MDM,NA,NA,2016/17,club,Victoria,South Australia,draw,NA,Final
2016-10-22,Plunket Shield,male,MDM,NA,NA,2016/17,club,Central Stags,Otago Volts,draw,NA,NA
2016-10-22,Plunket Shield,male,MDM,Northern Districts,NA,2016/17,club,Canterbury,Northern Districts,NA,NA,NA
2016-10-22,Plunket Shield,male,MDM,Wellington Firebirds,NA,2016/17,club,Wellington Firebirds,Auckland Aces,NA,NA,NA
2016-10-29,Plunket Shield,male,MDM,NA,NA,2016/17,club,Wellington Firebirds,Northern Districts,draw,NA,NA
2016-10-29,Plunket Shield,male,MDM,Canterbury,NA,2016/17,club,Canterbury,Central Stags,NA,NA,NA
2016-10-29,Plunket Shield,male,MDM,Auckland Aces,NA,2016/17,club,Auckland Aces,Otago Volts,NA,NA,NA
2016-11-05,Plunket Shield,male,MDM,Northern Districts,NA,2016/17,club,Northern Districts,Canterbury,NA,NA,NA
2016-11-05,Plunket Shield,male,MDM,NA,NA,2016/17,club,Auckland Aces,Wellington Firebirds,draw,NA,NA
2016-11-05,Plunket Shield,male,MDM,NA,NA,2016/17,club,Otago Volts,Central Stags,draw,NA,NA
2016-11-14,Plunket Shield,male,MDM,NA,NA,2016/17,club,Northern Districts,Auckland Aces,draw,NA,NA
2016-11-22,Plunket Shield,male,MDM,NA,NA,2016/17,club,Otago Volts,Wellington Firebirds,draw,NA,NA
2016-11-22,Plunket Shield,male,MDM,NA,NA,2016/17,club,Central Stags,Northern Districts,draw,NA,NA
2016-11-22,Plunket Shield,male,MDM,Canterbury,NA,2016/17,club,Canterbury,Auckland Aces,NA,NA,NA
2017-02-25,Plunket Shield,male,MDM,NA,NA,2016/17,club,Auckland Aces,Central Stags,draw,NA,NA
2017-02-25,Plunket Shield,male,MDM,Otago Volts,NA,2016/17,club,Northern Districts,Otago Volts,NA,NA,NA
2017-03-06,Plunket Shield,male,MDM,NA,NA,2016/17,club,Auckland Aces,Canterbury,draw,NA,NA
2017-03-06,Plunket Shield,male,MDM,NA,NA,2016/17,club,Northern Districts,Central Stags,draw,NA,NA
2017-03-06,Plunket Shield,male,MDM,NA,NA,2016/17,club,Wellington Firebirds,Otago Volts,draw,NA,NA
2017-03-14,Plunket Shield,male,MDM,Auckland Aces,NA,2016/17,club,Auckland Aces,Northern Districts,NA,NA,NA
2017-03-14,Plunket Shield,male,MDM,Canterbury,NA,2016/17,club,Canterbury,Otago Volts,NA,NA,NA
2017-03-21,Plunket Shield,male,MDM,Auckland Aces,NA,2016/17,club,Otago Volts,Auckland Aces,NA,NA,NA
2017-03-21,Plunket Shield,male,MDM,Northern Districts,NA,2016/17,club,Northern Districts,Wellington Firebirds,NA,NA,NA
2017-03-21,Plunket Shield,male,MDM,Central Stags,NA,2016/17,club,Central Stags,Canterbury,NA,NA,NA
2017-03-29,Plunket Shield,male,MDM,Wellington Firebirds,NA,2016/17,club,Canterbury,Wellington Firebirds,NA,NA,NA
2017-03-29,Plunket Shield,male,MDM,Northern Districts,NA,2016/17,club,Otago Volts,Northern Districts,NA,NA,NA
2016-11-30,Bangladesh Premier League,male,T20,Comilla Victorians,20,2016/17,club,Rajshahi Kings,Comilla Victorians,NA,NA,NA
2016-11-10,Bangladesh Premier League,male,T20,Rangpur Riders,20,2016/17,club,Khulna Titans,Rangpur Riders,NA,NA,NA
2016-11-14,Bangladesh Premier League,male,T20,Barisal Bulls,20,2016/17,club,Chittagong Vikings,Barisal Bulls,NA,NA,NA
2016-11-14,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Dhaka Dynamites,Comilla Victorians,NA,NA,NA
2016-11-28,Bangladesh Premier League,male,T20,Rajshahi Kings,20,2016/17,club,Rajshahi Kings,Rangpur Riders,NA,NA,NA
2016-11-20,Bangladesh Premier League,male,T20,Khulna Titans,20,2016/17,club,Khulna Titans,Barisal Bulls,NA,NA,NA
2016-11-08,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Barisal Bulls,Dhaka Dynamites,NA,NA,NA
2016-11-08,Bangladesh Premier League,male,T20,Chittagong Vikings,20,2016/17,club,Chittagong Vikings,Comilla Victorians,NA,NA,NA
2016-11-09,Bangladesh Premier League,male,T20,Khulna Titans,20,2016/17,club,Khulna Titans,Rajshahi Kings,NA,NA,NA
2016-11-09,Bangladesh Premier League,male,T20,Rangpur Riders,20,2016/17,club,Chittagong Vikings,Rangpur Riders,NA,NA,NA
2016-11-11,Bangladesh Premier League,male,T20,Barisal Bulls,20,2016/17,club,Comilla Victorians,Barisal Bulls,NA,NA,NA
2016-11-11,Bangladesh Premier League,male,T20,Rajshahi Kings,20,2016/17,club,Dhaka Dynamites,Rajshahi Kings,NA,NA,NA
2016-11-12,Bangladesh Premier League,male,T20,Khulna Titans,20,2016/17,club,Khulna Titans,Chittagong Vikings,NA,NA,NA
2016-11-12,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Dhaka Dynamites,Rangpur Riders,NA,NA,NA
2016-11-13,Bangladesh Premier League,male,T20,Barisal Bulls,20,2016/17,club,Barisal Bulls,Rajshahi Kings,NA,NA,NA
2016-11-13,Bangladesh Premier League,male,T20,Khulna Titans,20,2016/17,club,Khulna Titans,Comilla Victorians,NA,NA,NA
2016-11-17,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Dhaka Dynamites,Chittagong Vikings,NA,NA,NA
2016-11-17,Bangladesh Premier League,male,T20,Rangpur Riders,20,2016/17,club,Rangpur Riders,Barisal Bulls,NA,NA,NA
2016-11-18,Bangladesh Premier League,male,T20,Chittagong Vikings,20,2016/17,club,Chittagong Vikings,Rajshahi Kings,NA,NA,NA
2016-11-18,Bangladesh Premier League,male,T20,Rangpur Riders,20,2016/17,club,Comilla Victorians,Rangpur Riders,NA,NA,NA
2016-11-19,Bangladesh Premier League,male,T20,Khulna Titans,20,2016/17,club,Khulna Titans,Dhaka Dynamites,NA,NA,NA
2016-11-19,Bangladesh Premier League,male,T20,Comilla Victorians,20,2016/17,club,Comilla Victorians,Rajshahi Kings,NA,NA,NA
2016-11-21,Bangladesh Premier League,male,T20,Rajshahi Kings,20,2016/17,club,Dhaka Dynamites,Rajshahi Kings,NA,NA,NA
2016-11-21,Bangladesh Premier League,male,T20,Chittagong Vikings,20,2016/17,club,Comilla Victorians,Chittagong Vikings,NA,NA,NA
2016-11-22,Bangladesh Premier League,male,T20,Rangpur Riders,20,2016/17,club,Khulna Titans,Rangpur Riders,NA,NA,NA
2016-11-22,Bangladesh Premier League,male,T20,Chittagong Vikings,20,2016/17,club,Chittagong Vikings,Barisal Bulls,NA,NA,NA
2016-11-25,Bangladesh Premier League,male,T20,Rajshahi Kings,20,2016/17,club,Rajshahi Kings,Rangpur Riders,NA,NA,NA
2016-11-25,Bangladesh Premier League,male,T20,Khulna Titans,20,2016/17,club,Barisal Bulls,Khulna Titans,NA,NA,NA
2016-11-26,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Dhaka Dynamites,Comilla Victorians,NA,NA,NA
2016-11-26,Bangladesh Premier League,male,T20,Rajshahi Kings,20,2016/17,club,Rajshahi Kings,Khulna Titans,NA,NA,NA
2016-11-27,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Barisal Bulls,Dhaka Dynamites,NA,NA,NA
2016-11-27,Bangladesh Premier League,male,T20,Chittagong Vikings,20,2016/17,club,Rangpur Riders,Chittagong Vikings,NA,NA,NA
2016-11-29,Bangladesh Premier League,male,T20,Comilla Victorians,20,2016/17,club,Barisal Bulls,Comilla Victorians,NA,NA,NA
2016-11-29,Bangladesh Premier League,male,T20,Chittagong Vikings,20,2016/17,club,Khulna Titans,Chittagong Vikings,NA,NA,NA
2016-11-30,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Dhaka Dynamites,Rangpur Riders,NA,NA,NA
2016-12-01,Bangladesh Premier League,male,T20,Barisal Bulls,20,2016/17,club,Barisal Bulls,Rajshahi Kings,NA,NA,NA
2016-12-03,Bangladesh Premier League,male,T20,Rangpur Riders,20,2016/17,club,Rangpur Riders,Barisal Bulls,NA,NA,NA
2016-12-02,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Chittagong Vikings,Dhaka Dynamites,NA,NA,NA
2016-12-03,Bangladesh Premier League,male,T20,Rajshahi Kings,20,2016/17,club,Chittagong Vikings,Rajshahi Kings,NA,NA,NA
2016-12-04,Bangladesh Premier League,male,T20,Comilla Victorians,20,2016/17,club,Comilla Victorians,Rangpur Riders,NA,NA,NA
2016-12-04,Bangladesh Premier League,male,T20,Khulna Titans,20,2016/17,club,Dhaka Dynamites,Khulna Titans,NA,NA,NA
2016-12-06,Bangladesh Premier League,male,T20,Rajshahi Kings,20,2016/17,club,Chittagong Vikings,Rajshahi Kings,NA,NA,Eliminator
2016-12-06,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Dhaka Dynamites,Khulna Titans,NA,NA,Qualifier 1
2016-12-07,Bangladesh Premier League,male,T20,Rajshahi Kings,20,2016/17,club,Khulna Titans,Rajshahi Kings,NA,NA,Qualifier 2
2016-12-09,Bangladesh Premier League,male,T20,Dhaka Dynamites,20,2016/17,club,Dhaka Dynamites,Rajshahi Kings,NA,NA,Final
2017-01-05,Women's Big Bash League,female,T20,Hobart Hurricanes,20,2016/17,club,Hobart Hurricanes,Sydney Thunder,NA,NA,NA
2017-01-07,Women's Big Bash League,female,T20,Melbourne Renegades,20,2016/17,club,Melbourne Stars,Melbourne Renegades,NA,NA,NA
2017-01-10,Women's Big Bash League,female,T20,Melbourne Stars,20,2016/17,club,Adelaide Strikers,Melbourne Stars,NA,NA,NA
2017-01-08,Women's Big Bash League,female,T20,Brisbane Heat,20,2016/17,club,Brisbane Heat,Hobart Hurricanes,NA,NA,NA
2017-01-09,Women's Big Bash League,female,T20,Hobart Hurricanes,20,2016/17,club,Brisbane Heat,Hobart Hurricanes,NA,NA,NA
2017-01-09,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Perth Scorchers,Sydney Sixers,NA,NA,NA
2017-01-13,Women's Big Bash League,female,T20,Melbourne Stars,20,2016/17,club,Melbourne Stars,Adelaide Strikers,NA,NA,NA
2017-01-13,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Sydney Sixers,Hobart Hurricanes,NA,NA,NA
2017-01-14,Women's Big Bash League,female,T20,Perth Scorchers,20,2016/17,club,Adelaide Strikers,Perth Scorchers,NA,NA,NA
2017-01-14,Women's Big Bash League,female,T20,Brisbane Heat,20,2016/17,club,Melbourne Renegades,Brisbane Heat,NA,NA,NA
2017-01-14,Women's Big Bash League,female,T20,NA,20,2016/17,club,Sydney Sixers,Sydney Thunder,tie,NA,NA
2017-01-15,Women's Big Bash League,female,T20,Perth Scorchers,20,2016/17,club,Perth Scorchers,Melbourne Stars,NA,NA,NA
2017-01-16,Women's Big Bash League,female,T20,Hobart Hurricanes,20,2016/17,club,Sydney Thunder,Hobart Hurricanes,NA,NA,NA
2017-01-20,Women's Big Bash League,female,T20,Brisbane Heat,20,2016/17,club,Adelaide Strikers,Brisbane Heat,NA,NA,NA
2017-01-20,Women's Big Bash League,female,T20,Perth Scorchers,20,2016/17,club,Perth Scorchers,Sydney Thunder,NA,NA,NA
2017-01-20,Women's Big Bash League,female,T20,Melbourne Renegades,20,2016/17,club,Sydney Sixers,Melbourne Renegades,NA,NA,NA
2017-01-20,Women's Big Bash League,female,T20,Melbourne Stars,20,2016/17,club,Hobart Hurricanes,Melbourne Stars,NA,D/L,NA
2017-01-21,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Sydney Sixers,Melbourne Renegades,NA,NA,NA
2017-01-21,Women's Big Bash League,female,T20,Hobart Hurricanes,20,2016/17,club,Melbourne Stars,Hobart Hurricanes,NA,NA,NA
2017-01-24,Women's Big Bash League,female,T20,Perth Scorchers,20,2016/17,club,Brisbane Heat,Perth Scorchers,NA,NA,Semi Final
2017-01-25,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Sydney Sixers,Hobart Hurricanes,NA,NA,Semi Final
2017-01-28,Women's Big Bash League,female,T20,Sydney Sixers,20,2016/17,club,Sydney Sixers,Perth Scorchers,NA,NA,Final
2017-07-07,NatWest T20 Blast,male,T20,Yorkshire,20,2017,club,Yorkshire,Nottinghamshire,NA,NA,NA
2017-07-07,NatWest T20 Blast,male,T20,Surrey,20,2017,club,Surrey,Essex,NA,NA,NA
2017-07-07,NatWest T20 Blast,male,T20,Lancashire,20,2017,club,Lancashire,Durham,NA,NA,NA
2017-07-07,NatWest T20 Blast,male,T20,Hampshire,20,2017,club,Hampshire,Glamorgan,NA,NA,NA
2017-07-07,NatWest T20 Blast,male,T20,NA,20,2017,club,Gloucestershire,Middlesex,tie,NA,NA
2017-07-07,NatWest T20 Blast,male,T20,Warwickshire,20,2017,club,Worcestershire,Warwickshire,NA,NA,NA
2017-07-07,NatWest T20 Blast,male,T20,Derbyshire,20,2017,club,Northamptonshire,Derbyshire,NA,NA,NA
2017-07-08,NatWest T20 Blast,male,T20,Derbyshire,20,2017,club,Derbyshire,Yorkshire,NA,NA,NA
2017-07-08,NatWest T20 Blast,male,T20,Warwickshire,20,2017,club,Nottinghamshire,Warwickshire,NA,NA,NA
